               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,           0.0071141,           0.0041834,           0.0038325,             0.95542,             0.95236,             0.98128,             0.94531,            0.003217,           0.0020012,           0.0020459,            0.003268,            0.003268,            0.003268
                  36,           0.0068813,           0.0041096,           0.0039119,             0.95762,             0.95096,             0.98076,             0.94984,           0.0031652,           0.0019647,           0.0019898,             0.00307,             0.00307,             0.00307
                  37,           0.0068147,           0.0039905,           0.0032776,             0.95969,             0.94584,             0.98092,             0.94958,           0.0031379,           0.0019876,           0.0022729,            0.002872,            0.002872,            0.002872
                  38,           0.0067192,           0.0039784,           0.0036081,             0.95191,             0.96462,             0.98323,             0.94996,           0.0031271,           0.0019543,           0.0019708,            0.002674,            0.002674,            0.002674
                  39,           0.0066008,           0.0039811,           0.0035658,             0.95438,             0.96201,             0.98018,             0.94973,           0.0030747,           0.0019434,           0.0022531,            0.002476,            0.002476,            0.002476
                  40,           0.0063842,           0.0038769,           0.0032126,             0.95688,             0.95035,              0.9789,             0.94977,           0.0030692,           0.0019319,           0.0021687,            0.002278,            0.002278,            0.002278
                  41,           0.0061752,           0.0038167,            0.003244,             0.96238,             0.95853,             0.98019,             0.95215,           0.0030263,           0.0019296,            0.002141,             0.00208,             0.00208,             0.00208
                  42,           0.0061491,           0.0038782,           0.0033103,             0.95114,             0.96193,             0.97979,             0.95085,           0.0030118,           0.0018993,           0.0020558,            0.001882,            0.001882,            0.001882
                  43,           0.0059901,           0.0038266,           0.0029311,             0.95677,             0.96564,             0.98045,             0.95112,           0.0029814,           0.0018803,             0.00205,            0.001684,            0.001684,            0.001684
                  44,           0.0060395,           0.0037909,           0.0029427,             0.95017,             0.95466,             0.98085,             0.95205,           0.0029852,           0.0018559,           0.0020273,            0.001486,            0.001486,            0.001486
                  45,           0.0059219,           0.0037846,           0.0029372,             0.94932,             0.96597,             0.98114,             0.95273,           0.0029437,           0.0018428,            0.002032,            0.001288,            0.001288,            0.001288
                  46,           0.0057557,           0.0036847,           0.0029295,             0.95609,             0.96358,             0.98143,             0.95365,           0.0029419,           0.0018479,           0.0019598,             0.00109,             0.00109,             0.00109
                  47,           0.0056856,            0.003703,            0.002604,             0.94981,             0.96048,             0.98062,             0.95355,            0.002946,           0.0018625,           0.0020912,            0.000892,            0.000892,            0.000892
                  48,           0.0055846,           0.0036868,           0.0024612,             0.96411,             0.95749,             0.98044,             0.95342,           0.0029305,           0.0018649,           0.0020948,            0.000694,            0.000694,            0.000694
                  49,           0.0053921,           0.0035631,           0.0024348,             0.95619,             0.96385,             0.98125,             0.95406,           0.0029208,           0.0018413,           0.0020228,            0.000496,            0.000496,            0.000496
